Month,Year,Categories,Amount,Page number,Type of Category
June,1854,Arrests (Males),587,30,Demographics
June,1854,Arrests (Females),191,30,Demographics
June,1854,Arrests (Americans),125,30,Demographics
June,1854,Arrests (Foreigners),653,30,Demographics
June,1854,Arrests (Minor),155,30,Demographics
June,1854,Arrests (Commitments),204,30,Demographics
June,1854,Street Obstructions Removed,14,30,Public Service
June,1854,Streets repair requested ,12,30,Public Service
June,1854,Sidewalks repaired,28,30,Public Service
June,1854,"Drains,vaults,nuisances reported",139,30,Public Service
June,1854,Cholera Cases attended to,8,30,Public Service
June,1854,Stores found open and secured ,3,30,Public Service
June,1854,Fires extinguished by officers without alarms,2,30,Public Service
June,1854,Persons Rescued from Drowning,1,30,Public Service
June,1854,Lost children returned,6,30,Public Service
June,1854,Intoxicated persons helped home,12,30,Public Service
June,1854,Disturbances Suppressed,68,30,Public Service
June,1854,"Drains,vaults,nuisances reported",15,30,Public Service
June,1854,"Drains,vaults,nuisances reported",112,30,Public Service
June,1854,"Drains,vaults,nuisances reported",36,30,Public Service
June,1854,Attempt to kill,5,30,Offences
June,1854,Assaults on Officers,2,30,Offences
June,1854,Assaults and Battery,26,30,Offences
June,1854,Breaking and Entering,2,30,Offences
June,1854,Adultery,2,30,Offences
June,1854,Common Night Walkers,30,30,Offences
June,1854,Common Drunkenness (drunkards),38,30,Offences
June,1854,City Ordinance Violations,10,30,Offences
June,1854,Disturbing the Peace,45,30,Offences
June,1854,Witnesses detained,5,30,Offences
June,1854,Drunkenness (Simple),396,30,Offences
June,1854,Safe keeping for Bondsmen,2,30,Offences
June,1854,Idle & dissolute persons,3,30,Offences
June,1854,Larceny (simple),29,30,Offences
June,1854,Larceny from persons etc,7,30,Offences
June,1854,Keeping Houses of Ill Fame,7,30,Offences
June,1854,Malicious mischief,2,30,Offences
June,1854,False Pretence,1,30,Offences
June,1854,Rescuing prisoners,1,30,Offences
June,1854,Stubborn & Truant Children,1,30,Offences
June,1854,Stubborn & Truant Children,3,30,Offences
June,1854,Vagabonds,8,30,Offences
June,1854,Provided with Lodgings,153,30,Offences
June,1854,Amt property restored to prisoners (in $),116.5,30,Station and Court-related
June,1854,Amt property stolen on station (in $),336.1,30,Station and Court-related
June,1854,Stolen Property Recovered (in $),259.65,30,Station and Court-related
June,1854,No. of larcenies on station,23,30,Offences
June,1854,No. of arrests for larcenies on station,20,30,Offences
June,1854,Days time spent in court,127,30,Station and Court-related
June,1854,Amt Witness fees has earned in court (in $),159.5,30,Station and Court-related
June,1854,Amt fines imposed on Prisoners (in $),322,30,Station and Court-related
June,1854,Years imprisonment imposed on convicts,97.25,30,Station and Court-related
June,1854,Cases reported for grand jury,0,30,Station and Court-related
July ,1854,Arrests (Males),606,31,Demographics
July ,1854,Arrests (Females),232,31,Demographics
July,1854,Arrests (Americans),90,31,Demographics
July,1854,Arrests (Foreigners),748,31,Demographics
July,1854,Arrests (Minor),167,31,Demographics
July,1854,Arrests (Commitments),234,31,Demographics
July,1854,Street Obstructions Removed,2,31,Public Service
July,1854,Streets repair requested ,8,31,Public Service
July,1854,Sidewalks repaired,23,31,Public Service
July,1854,"Drains,vaults,nuisances reported",9,31,Public Service
